Question,Answer
What is the office timing ?,Office Timing: 09.30 to 17.30 
What is the attendance policy?," To define work timing and the purpose of attendance for all employees, This policy applies to all employees of Ideassion."
Bring some lunch break details !,Lunch Break of 45 minutes shall be provided to all employees between 13:00 to 13.45
What is detailed attendance management?,"It is your individual responsibility to come to work when you are expected to. Emergencies happen. When they 
do, inform your immediate Superior early so that alternate arrangements can be made rapidly. 
Employees are expected to strictly adhere to the shift timings and the shifts. Changes in shift schedule are 
permitted only with prior approval from the superiors. 
In order to ensure effective smooth wage administration of levels of employees, an effective Time Office is 
implemented.
All employees shall mark their attendance in the time recording system maintained at the Office. Notification 
from time to time will help employees understand as to how the time office / Leave Management Software to be 
used for the fullest potential and satisfaction of the employee and the management for effective leave 
administration.
Employees who are found not swiping in/out would be considered as serious misconduct"
What is the office working Hours?,"Our business is that of providing Information Technology services to customers overseas, in different time zones. 
So, we necessarily operate 24x7, all 365 days a year.
The staff in general shift will work from 9.30 a.m. to 5.30 p.m. six days a week, with a lunch-break of half-anhour. 
Employees will operate in shifts. The deployment of human resources on shifts will be decided and communicated 
to you according to the exigencies of work.
Employees working in the shifts will be informed, well in advance about the schedule of their shifts. You are 
expected to strictly adhere to the shift timings and a change in shifts will be permitted only under deserving 
circumstances. In the event of the reliever not coming and if an employee continues for two shifts, the employee 
will be eligible for compensatory off. The compensatory off should be availed within one month with prior 
permission. 
Employees are expected to report half-an hour before the scheduled time of work. You are expected to work 
closely with the employee who is manning the previous shift to ensure smooth transition of work to the next shift. 
Similarly, while leaving the shift, you are expected to handover the charge to the reliever.
Work timings and holidays are project-dependent and will be communicated by your immediate 
Superior/Department Head.
The corporate office shall function in the following timing: -
• Office Timing: 09.30 to 17.30 
• Lunch Break of 45 minutes shall be provided to all employees between 13:00 to 13.45.
• Sunday will be the weekly of"
What is the leave policy?,To provide leave for employees to meet their personal exigencies and to reenergize themselves.
List some leave coverage ?,"• Privilege Leave (PL) 
• Casual Leave (CL) 
• Sick Leave (SL) 
• Loss of Pay (LOP) 
• Maternity Leave (ML) 
• Paternity Leave 
• Relocation leave 
• Compensatory Off 
• Bereavement Leave"
Bring some LOP or Loss of pay details ?,"• LOP is also an authorized form of leave and has to be applied and approved through HR System.
• LOP can be applied in the absence of non-availability of other eligible leave to employee’s credit. 
• LOP will also include intervening holidays and weekends."
Detailed information of Materity Leave(ML) ?,"The Amendments: 
• Maternity Leave will be for 26 weeks (182 days). 
• Employee can proceed on ML 8 weeks prior to the expected delivery date as certified by Doctor. 
• Employees who currently have two (surviving) or more children shall be entitled to maternity benefits of 12 
weeks, out of which not more than six weeks shall precede the date of delivery 
• A commissioning mother (our employee), who wishes to get embryo implanted in another woman; and a woman 
(our employee) who legally adopts a child up to the age of three months, will be considered as the ‘insured 
woman’; and shall be entitled to maternity benefits of 12 weeks from the date of handing over of the child after 
birth to the commissioning mother, and from the date of such adoption, as the case may be 
• If an employee resigns from employment during Maternity Leave without resuming duty, the benefit shall be 
extended only up to the last day of the employment with the Company.
• The woman employee can proceed on maternity leave up to a maximum of 8 weeks but compulsorily 1 week 
before the delivery date. The woman employee must compulsorily avail 8 weeks of maternity leave after the 
delivery date. 
• The maximum leaves permitted under maternity are 06 months. Any extension/exception on the policy to be 
approved by Head of HR. Extension of maternity leave beyond 6 months is applicable only for confirmed 
employees with a minimum service of 6 months.
• Employee will not be eligible for PL credit during Maternity leave. 
• For the purpose of Maternity or Miscarriage / Medical termination of Pregnancy intervening weekends / holidays 
will be calculated as leave days. 
• In case of miscarriage or medical termination of pregnancy for any reason, the number of days of leave will be 
limited to 6 weeks (42 continuous days) from the date of such occurrence. Application for ML of this nature 
should be supported with a proper medical certificate. 
• Employees desirous of availing ML have to fill up maternity application from & Form A available with HR BP 
and submit the same along with doctors certificates, stating expected date of delivery. 
• HR will validate the documents & apply ESI or ML as applicable in HR System on behalf of employee. The 
same will be auto approved. 
• Proof of birth certificate or Discharge summary copy has to be submitted post-delivery."
What is Paternity Leave ?,"All confirmed male employees are eligible for Paternity Leave of 5 working days for the birth or adoption of a 
child. 
• Employees desirous of availing this benefit must provide Birth certificate or discharge summary of the child to 
respective HR. 
• Discharge summary is entertained only in absence of birth certificate & same should have name of mother, date 
of birth of child & authorised seal & sign of the Registered Medical Practitioner. 
• Paternity Leave will be credited and the same has to be applied in HR System & sanctioned by reporting 
authority before proceeding on leave. 
• This leave must be taken within 60 days from the date of birth of the child or adoption and all five days should 
be availed at one stretch. 
• This leave is not eligible for encashment or accumulation. 
• This leave will be available twice during the tenure of service. 
• Employees having two children will not be entitled to this benefit."
